ticker,entry_date,entry_price,shares,invested,signal_date,exit_date,exit_price,reason,pnl_pct,pnl_eur,entry_year,pnl_bin
TSLA,2018-08-20,20.562667846679688,483.8866276589035,10000.0,2018-08-17,2021-05-04,224.53334045410156,HOLD,981.0543750477702,98105.43750477703,2018,500..1000
SMCI,2018-10-29,1.3300000429153442,7481.20276612151,10000.0,2018-10-26,2021-07-14,3.444999933242798,HOLD,156.4387931471511,15643.879314715112,2018,100..250
VMC,2018-10-31,94.73564147949219,105.02910884024486,10000.0,2018-10-30,2021-07-16,168.82608032226562,HOLD,76.42994501412959,7642.994501412959,2018,50..100
FND,2018-11-02,31.979999542236328,311.1319619269828,10000.0,2018-11-01,2021-07-20,109.63999938964844,HOLD,239.4194557519564,23941.94557519564,2018,100..250
HGV,2018-11-02,30.940000534057617,321.5901689803594,10000.0,2018-11-01,2021-07-20,39.2400016784668,HOLD,25.561027767148836,2556.1027767148844,2018,25..50
OSK,2018-11-02,57.4642219543457,173.15121760293033,10000.0,2018-11-01,2021-07-20,108.79756927490234,HOLD,87.44239434227559,8744.239434227558,2018,50..100
TNL,2018-11-02,31.9920711517334,311.0145621022379,10000.0,2018-11-01,2021-07-20,45.929752349853516,HOLD,42.133977054811524,4213.397705481153,2018,25..50
EXEL,2018-11-05,17.809999465942383,558.6749184932395,10000.0,2018-11-02,2021-07-21,17.030000686645508,HOLD,-5.333369256762655,-533.3369256762653,2018,-10..0
COHR,2018-11-12,33.25,299.2481203007519,10000.0,2018-11-09,2021-07-28,68.27999877929688,HOLD,103.30497982398015,10330.497982398014,2018,100..250
TWLO,2018-11-20,75.88999938964844,131.11081934409927,10000.0,2018-11-19,2021-08-05,377.0799865722656,HOLD,391.9206966776294,39192.06966776294,2018,250..500
ANF,2018-11-30,19.48006248474121,510.7786490825614,10000.0,2018-11-29,2021-08-16,36.91999816894531,HOLD,87.63657054920205,8763.657054920204,2018,50..100
XPO,2018-12-17,18.61731719970703,534.4486476363295,10000.0,2018-12-14,2021-08-30,52.21628189086914,HOLD,177.67386634966513,17767.38663496651,2018,100..250
LRCX,2019-01-25,15.074162483215332,660.0698387773817,10000.0,2019-01-24,2021-10-06,52.54027557373047,HOLD,245.06849971135125,24506.849971135125,2019,100..250
AMD,2019-01-31,24.40999984741211,407.61983048741706,10000.0,2019-01-30,2021-10-12,105.04000091552734,HOLD,326.0230543074747,32602.305430747467,2019,250..500
ARWR,2019-02-11,16.920000076293945,588.0614630694132,10000.0,2019-02-08,2021-10-21,66.88999938964844,HOLD,291.3875375125987,29138.753751259872,2019,250..500
EA,2019-02-11,94.45647430419922,105.33952355617042,10000.0,2019-02-08,2021-10-21,137.2820587158203,HOLD,43.8892052464505,4388.920524645051,2019,25..50
CAR,2019-02-22,33.567291259765625,296.4195091882869,10000.0,2019-02-21,2021-11-02,339.3498229980469,HOLD,900.8695843633202,90086.95843633202,2019,500..1000
OLED,2019-02-25,139.19354248046875,71.48320117936618,10000.0,2019-02-22,2021-11-03,176.195556640625,HOLD,25.320473101409434,2532.0473101409443,2019,25..50
XRAY,2019-03-04,42.89857864379883,231.94241661520212,10000.0,2019-03-01,2021-11-10,50.17536544799805,HOLD,15.796065389767833,1579.6065389767828,2019,0..25
CVNA,2019-03-06,50.599998474121094,196.64032213536206,10000.0,2019-03-05,2021-11-12,294.42999267578125,HOLD,476.0732456304753,47607.32456304753,2019,250..500
DY,2019-05-22,54.400001525878906,182.90440663437545,10000.0,2019-05-21,2022-02-01,86.55000305175781,HOLD,57.5122506762322,5751.22506762322,2019,50..100
DD,2019-06-04,27.192365646362305,365.91152566128704,10000.0,2019-06-03,2022-02-11,30.492218017578125,HOLD,11.01666745530554,1101.6667455305542,2019,0..25
PSTG,2019-08-23,15.630000114440918,636.5962845263812,10000.0,2019-08-22,2022-05-05,27.780000686645508,HOLD,75.96221995152554,7596.221995152555,2019,50..100
NTNX,2019-08-30,24.229999542236328,410.64796483614197,10000.0,2019-08-29,2022-05-12,20.610000610351562,HOLD,-15.788624681170493,-1578.8624681170495,2019,-25..-10
APA,2019-09-17,21.842727661132812,455.52918822062406,10000.0,2019-09-16,2022-05-27,41.589813232421875,HOLD,88.50646990712445,8850.646990712445,2019,50..100
THO,2019-10-01,49.16790771484375,202.367773257842,10000.0,2019-09-30,2022-06-13,64.29661560058594,HOLD,29.465051124704722,2946.5051124704733,2019,25..50
BIIB,2019-10-23,278.82000732421875,35.68610479387118,10000.0,2019-10-22,2022-07-07,217.9600067138672,HOLD,-22.607470777383888,-2260.7470777383887,2019,-25..-10
TXRH,2019-10-31,50.98906326293945,195.1398861495067,10000.0,2019-10-30,2022-07-15,76.48715209960938,HOLD,48.51065681854687,4851.065681854687,2019,25..50
GDDY,2019-11-29,66.37999725341797,149.89455275230017,10000.0,2019-11-27,2022-08-12,81.30999755859375,HOLD,21.269860897443493,2126.9860897443486,2019,0..25
DBX,2020-02-24,21.760000228881836,457.26102460207983,10000.0,2020-02-21,2022-11-02,20.68000030517578,HOLD,-5.911226623255783,-591.1226623255789,2020,-10..0
SYNA,2020-02-28,66.05000305175781,150.64344497006343,10000.0,2020-02-27,2022-11-08,95.75,HOLD,43.51989306604156,4351.989306604155,2020,25..50
TTD,2020-03-10,23.56999969482422,422.1468022413653,10000.0,2020-03-09,2022-11-17,50.060001373291016,HOLD,110.27006152433492,11027.006152433492,2020,100..250
TRGP,2020-03-12,9.818814277648926,1013.3606481028671,10000.0,2020-03-11,2022-11-21,65.6705093383789,HOLD,562.1517035486311,56215.170354863105,2020,500..1000
FANG,2020-03-13,21.249269485473633,468.2513912679206,10000.0,2020-03-12,2022-11-22,132.7869415283203,HOLD,518.6678176228378,51866.781762283776,2020,500..1000
OXY,2020-03-13,13.346085548400879,745.5369564293107,10000.0,2020-03-12,2022-11-22,68.77449035644531,HOLD,410.1755459921962,41017.55459921961,2020,250..500
EQT,2020-03-16,8.139863014221191,1222.3792934372864,10000.0,2020-03-13,2022-11-23,41.467323303222656,HOLD,404.3535337332819,40435.35337332819,2020,250..500
AAL,2020-03-17,15.579999923706055,638.6392842570161,10000.0,2020-03-16,2022-11-25,14.5,HOLD,-7.860317263819017,-786.0317263819015,2020,-10..0
DPZ,2020-03-17,277.3143310546875,35.879862256515764,10000.0,2020-03-16,2022-11-25,369.64801025390625,HOLD,31.966050928487565,3196.6050928487566,2020,25..50
NCLH,2020-03-17,10.029999732971191,992.0239546260194,10000.0,2020-03-16,2022-11-25,16.43000030517578,HOLD,62.174591078609474,6217.459107860948,2020,50..100
APPF,2020-03-18,85.81999969482422,115.94034065931233,10000.0,2020-03-17,2022-11-28,113.62000274658203,HOLD,31.072761150299712,3107.2761150299702,2020,25..50
CGNX,2020-03-18,43.24666976928711,230.07551918058402,10000.0,2020-03-17,2022-11-28,47.38194274902344,HOLD,8.46917952377446,846.9179523774455,2020,0..25
AAON,2020-03-19,31.726839065551758,313.6146018026571,10000.0,2020-03-18,2022-11-29,50.511356353759766,HOLD,57.61893414849499,5761.893414849499,2020,50..100
AGCO,2020-03-20,33.596378326416016,296.1628751565926,10000.0,2020-03-19,2022-11-30,120.3008041381836,HOLD,254.5048887702849,25450.48887702849,2020,250..500
AMCR,2020-03-20,28.41604232788086,350.15432075977014,10000.0,2020-03-19,2022-11-30,53.740055084228516,HOLD,87.23225923182618,8723.225923182617,2020,50..100
AN,2020-03-20,26.5,375.47169811320754,10000.0,2020-03-19,2022-11-30,123.91000366210938,HOLD,362.9207599078485,36292.07599078485,2020,250..500
APTV,2020-03-20,45.16999816894531,220.27895513267242,10000.0,2020-03-19,2022-11-30,106.66999816894531,HOLD,133.79669961956057,13379.669961956057,2020,100..250
ARMK,2020-03-20,13.024499893188477,763.9448793886995,10000.0,2020-03-19,2022-11-30,28.925106048583984,HOLD,119.86700718332877,11986.700718332879,2020,100..250
AVGO,2020-03-20,16.78278160095215,592.8695395425691,10000.0,2020-03-19,2022-11-30,52.13935470581055,HOLD,207.57276040398182,20757.27604039818,2020,100..250
AXON,2020-03-20,60.779998779296875,163.70516946093142,10000.0,2020-03-19,2022-11-30,184.02999877929688,HOLD,199.76028825379495,19976.028825379497,2020,100..250
BLKB,2020-03-20,51.58000183105469,192.90421959639056,10000.0,2020-03-19,2022-11-30,59.27000045776367,HOLD,13.762660178636988,1376.2660178636997,2020,0..25
BYD,2020-03-20,11.102356910705566,896.2061011032357,10000.0,2020-03-19,2022-11-30,59.19116973876953,HOLD,427.8225001406586,42782.25001406586,2020,250..500
CLH,2020-03-20,41.630001068115234,239.01032295722874,10000.0,2020-03-19,2022-11-30,120.0,HOLD,185.3783256109311,18537.83256109311,2020,100..250
CMG,2020-03-20,11.319999694824219,878.975288713955,10000.0,2020-03-19,2022-11-30,32.53919982910156,HOLD,184.58146801484094,18458.146801484094,2020,100..250
CPRI,2020-03-20,9.869999885559082,1008.1053814963025,10000.0,2020-03-19,2022-11-30,57.349998474121094,HOLD,475.2576788011338,47525.76788011338,2020,250..500
CRUS,2020-03-20,55.900001525878906,177.99641732377498,10000.0,2020-03-19,2022-11-30,74.70999908447266,HOLD,32.316216144221485,3231.621614422149,2020,25..50
DRI,2020-03-20,32.70923614501953,304.1954252886164,10000.0,2020-03-19,2022-11-30,131.18655395507812,HOLD,297.0681782465045,29706.817824650447,2020,250..500
DVN,2020-03-20,4.441952228546143,2240.00608022222,10000.0,2020-03-19,2022-11-30,59.07252883911133,HOLD,1216.6120965484326,121661.20965484326,2020,1k..5k
